author_2,B,s_B,n_B,AB,s_AB,n_AB,co2_level,C,s_C,n_C,A,s_A,n_A,log_AB,log_A,log_B,log_C,lnRR_interaction,sampling_variance_interaction,lnRR_overall_CO2,sampling_variance_overall_CO2,lnRR_overall_food,sampling_variance_overall_food
Buscher,0.506,0.005,4,0.5,0.003,4,1,0.506,0.004,4,0.501,0.003,4,-0.6931471805599453,-0.6911491778972723,-0.6812186096946715,-0.6812186096946715,-0.0019980026626730263,5.799754051123099e-5,-0.010929070532190388,1.4499371681650651e-5,-9.935420588778896e-4,1.4562320960092275e-5
Cole,292.6901,3.1512,3,274.9513,2.7573,3,1,274.9513,1.1817,3,274.9513,1.5756,3,5.6165939910750335,5.6165939910750335,5.679114370098839,5.6165939910750335,-0.06252037902380536,8.926367817255148e-5,-0.03174870968022958,2.2834368873566375e-5,0.03174870968022958,2.241346793375046e-5
Comeau,8.774648,2.41498868,6,9.56338,5.55448,6,1,3.992958,1.207495565,6,4.190141,1.93199,6,2.2579412210622993,1.4327343849191583,2.171866654587229,1.3845323096185527,0.037872491174464784,0.11952153644672138,0.07438368222349556,0.037926069685266246,0.8069060067860736,0.031100438568925845
Crook,81.03448,43.4105433,23,78.87931,37.20904,23,1,8.62069,7.540021388,34,7.758621,5.31415,38,4.3679189627916175,2.0488046122179453,4.394874743109177,2.1541651278757716,0.07840473534026726,0.05699784629327702,-0.03423314511717468,0.018519869433367878,2.278615843474042,0.014560702402256685
Crook,81.03448,43.4105433,23,84.91379,26.2825,22,2,8.62069,7.540021388,34,8.189655,6.96357,29,4.441636506511546,2.10287177243559,4.394874743109177,2.1541651278757716,0.09805511884255136,0.06426271988580916,0.0377403197207391,0.014216414654070792,2.2896816425770523,0.015949671547248755
Drenkard,1072.63793,52.883393558,3,1037.336205,40.061440000000005,3,1,698.152415,23.092418438000003,3,666.90517,38.875879999999995,3,6.944411364942536,6.5026478618949115,6.977876248593728,6.548437438524239,0.012324692978135765,0.0028047655200927088,-0.038305899152326184,7.116214873230495e-4,0.4354790745587316,6.953079403499362e-4
Edmunds,6.047431,2.174846974,10,5.667984,4.1997,10,1,3.913043,1.799873576,10,5.146245,0.44997,10,1.7348334989592415,1.638267322520257,1.7996335537635355,1.3643153321788857,-0.33875204514566537,0.08975591324085225,0.08223810616303728,0.023287542101148945,0.25711496623126306,0.020490713530547527
Hettinger,2.122475017,0.096019647,5,1.9655045999999998,0.069915,5,1,1.5769656749999998,0.100491783,5,1.4738826639999998,0.326995,5,0.675749006248446,0.38790018679940824,0.7525828685804995,0.45550254173260407,-0.009231507398857641,0.011318886129627018,-0.07288830930971901,0.002172753506350889,0.292631170953328,0.002683416460465371
Hurst,0.08784937799999999,0.0014935855000000001,3,0.0834123775,0.00295,3,1,0.0550725555,0.006621955,3,0.056636667,0.01545,3,-2.483958569358316,-2.8710986766671107,-2.432131544624523,-2.8991037722084116,-0.07983212027509401,0.03013760824912658,-0.02030588249166465,0.004956597087396182,0.42729385246897245,0.007671704328368728
Melzner,18.650000000000002,14.2,4,21.85,15.65,4,1,3.1,3.1999999999999997,4,4.25,4.9,4,3.084200921541599,1.4469189829363254,2.9258461460898246,1.1314021114911006,-0.15716209599345032,0.8718902528751735,0.18232155679395445,0.21066914020639738,1.7066016608877481,0.22656195000419288
Melzner,18.650000000000002,14.2,4,16.15,7.6000000000000005,4,2,3.1,3.1999999999999997,4,9.25,8.200000000000001,4,2.7819200496686656,2.224623551524334,2.9258461460898246,1.1314021114911006,-1.2371475364543925,0.6631473170128903,0.15513541648979734,0.16041011636257646,1.0359613237064424,0.18054667180555276
Melzner,18.650000000000002,14.2,4,19.15,6.3,4,3,3.1,3.1999999999999997,4,4.55,8.7,4,2.952302715626655,1.5151272329628591,2.9258461460898246,1.1314021114911006,-0.35726855193492835,1.3523967119770661,0.08586129060639225,0.16332646917493276,1.5976034547870976,0.40930584894330524
Pan,336.98166,81.91,50,339.27267,81.90771,50,1,240.41,81.91,50,237.297,81.90771,50,5.8268041203585605,5.469312521136772,5.82002850750648,5.482345799133678,0.01980889084898596,0.007051845243279441,-0.0014246407009599338,0.0016122404794460996,0.34757165926087286,0.0017627915974827014
Pansch-Kiel,6.545487284,0.699386533,8,6.5252424655,0.4467,8,1,4.217353826,0.3081241675,8,4.2789778685,0.396595,8,1.8756781119819628,1.4537141653016503,1.8787758479273984,1.4392078759161901,-0.01760402533089578,0.0037539607943678954,0.003837265904939713,0.0010123798266476766,0.4307408550179437,9.406402563358158e-4
Pansch-Kiel,6.545487284,0.699386533,8,6.578435017,0.54125,8,2,4.217353826,0.3081241675,8,4.247890298,0.26845,8,1.8837968776872573,1.446422459218235,1.8787758479273984,1.4392078759161901,-0.0021935535421859775,0.0034397532509952253,0.005881133780840653,0.0010195538243506362,0.4384678403168687,8.589134069466899e-4
Pansch-Tjarno,1.8448370065,0.19081075449999998,6,1.925839726,0.22065500000000002,6,1,1.4965430929999999,0.2862305265,6,1.4584734835,0.35385,6,0.6553620939215984,0.3773903294953019,0.6123909302295524,0.40315784375302344,0.06873867794976757,0.019878169423415745,0.012767068373063406,0.004296993425033826,0.24375022950580116,0.004951088944500021
Pansch-Tjarno,1.8448370065,0.19081075449999998,6,1.8294334700000001,0.28676,6,3,1.4965430929999999,0.2862305265,6,1.495010593,0.536075,6,0.6040063396888133,0.40213329243627594,0.6123909302295524,0.40315784375302344,-0.007360039223991532,0.03340420316157866,-0.005081464055943563,0.007340314901276424,0.20556172329543987,0.008342304797336449
Ramajo,0.016055,0.005684591,3,0.03335,0.00599,3,1,0.009295,0.003994109,3,0.016656,0.00707,3,-3.4006975066205043,-4.094984767109524,-4.131734951440659,-4.67827865780873,0.1477435541209493,0.17414931160958713,0.67936426819153,0.03648264090583321,0.6438414891320354,0.041949563171204136
Swezey,1.68469657,0.615686643,8,1.914248021,0.69405,8,1,1.375989446,0.503743617,8,1.550131926,0.57091,8,0.6493248671853034,0.43834004085758976,0.5215854704371528,0.3191730694235973,0.008572425314158139,0.06683580712239003,0.12389459008095294,0.016855791187154696,0.20696285105579637,0.016770125711563652
Thomsen,1937.8544769085,332.1359095,7,1671.2788875,284.74561500000004,7,1,711.141338,177.77505,7,903.0528746465,188.50005,7,7.421344413233112,6.805781106128545,7.569336700316868,6.5668711976706655,-0.3869021955416354,0.023495341605191643,-0.028590639821520547,0.005402922981743919,0.804631785638608,0.005779905267442808
Thomsen,1937.8544769085,332.1359095,7,1736.019839774,315.62474,7,2,711.141338,177.77505,7,732.445193214,131.70004999999998,7,7.459350323596236,6.596388516541097,7.569336700316868,6.5668711976706655,-0.13950369559106424,0.022464912893001954,-0.07058411708366386,0.005631404024322257,0.9341161136127321,0.005577465091670567
Thomsen,1937.8544769085,332.1359095,7,1690.042789821,338.881055,7,3,711.141338,177.77505,7,650.3473138549999,37.35005,7,7.4325091270172985,6.477506549194462,7.569336700316868,6.5668711976706655,-0.04746292482336667,0.019339089425295407,-0.12386300396516425,0.0059207438200671175,0.9800745170082603,0.004987006114647858
Towle,1.300913,0.313340607,10,1.32968,0.28302,10,1,1.380822,0.272907724,10,1.006849,0.30323,10,0.2849383117807176,0.006825652145180938,0.26306632565715843,0.32267897401268486,0.3377253079910631,0.0233082804157555,-0.1377974783089545,0.005552276657662526,0.09689088221452224,0.0054956064284901705
