"author","C","s_C","n_C","B","s_B","n_B","A","s_A","n_A","AB","s_AB","n_AB","log_AB","log_A","log_B","log_C","lnRR_interaction","sampling_variance_interaction","lnRR_overall_CO2","sampling_variance_overall_CO2","lnRR_overall_food","sampling_variance_overall_food"
"Comeau",0.110164,0.0257,6,0.215082,0.0963727,6,0.104918,0.0449751,6,0.16918,0.0514001,6,-1.77679,-2.25458,-1.53674,-2.20579,-0.191265,0.0885429,-0.171096,0.0232659,0.580305,0.029084
"Edmunds",0.240788,0.0638527,10,0.249864,0.0609244,10,0.220358,0.0580151,10,0.210166,0.0638242,10,-1.55986,-1.5125,-1.38684,-1.42384,-0.0843557,0.0291314,-0.130732,0.00659997,-0.00242299,0.00702103
"Pansch",1.37895,0.855085,6,1.37895,0.644603,6,1.02105,0.414387,6,1.02105,0.638025,6,0.0208341,0.0208341,0.32132,0.32132,0,0.193036,-0.300486,0.0418742,0,0.049927
"Hettinger",0.034772,0.00203929,5,0.030982,0.0109836,5,0.031684,0.0045504,5,0.026702,0.00470692,5,-3.62302,-3.45194,-3.47435,-3.35894,-0.0556673,0.0361639,-0.118844,0.00795575,-0.14156,0.00839839
"Thomsen",2.40782,3.0562,7,0.198586,0.282529,7,1.85862,3.31305,7,0.299811,0.256845,7,-1.2046,0.619836,-1.61653,0.878723,0.670817,1.07807,-0.18859,0.570834,-2.14714,0.16437
"Melzner",70.4,61.9,4,24.3,4.8,4,72.6,53,4,21.8,11.2,4,3.08191,4.28496,3.19048,4.25419,-0.139338,0.402253,-0.00317293,0.185585,-1.13203,0.0851383
"Drenkard",546.619,33.285,3,350.178,18.4917,3,420.641,51.7766,3,249.822,11.095,3,5.52075,6.04178,5.85844,6.30375,-0.0757186,0.00787331,-0.290862,0.00217395,-0.477537,0.00161074
"Crook",48.8,14.7078,18,10.9333,7.50467,22,37.8667,13.7586,22,6.96429,1.31223,24,1.9408,3.63407,2.39182,3.88773,-0.197362,0.0339424,-0.286991,0.00772887,-1.5774,0.00385067
"Ramajo",9.25183,4.07727,3,3.72263,4.17209,3,17.9015,8.15455,3,7.77372,6.63742,3,2.05075,2.88488,1.31443,2.22482,0.0762579,0.795598,0.682543,0.146194,-0.859468,0.0813923
"Maier",0.091,0.0406964,5,0.043,0.0192302,5,0.0729358,0.0326179,5,0.0639908,0.0286176,5,-2.74902,-2.61818,-3.14656,-2.3969,0.61882,0.16,0.0216053,0.0505832,-0.426732,0.0379313
